,Station,Line,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
55,Shastri Nagar,2,28.66997485,77.18199977474701,1,3,0,4,1,1,2,1,13,3
56,Shahdara,2,28.6734037,77.28974036006097,0,4,0,3,0,1,12,0,21,4
57,Rithala,2,28.7208064,77.1071813,0,3,0,4,2,3,7,0,10,2
58,Rohini East,2,28.7075901,77.1260386,4,5,2,11,2,3,5,2,4,6
59,Rohini West,2,28.714956899999997,77.115385,1,6,0,6,1,4,4,5,10,2
60,Seelampur,2,28.669830199999996,77.26675403040142,1,0,0,0,0,0,4,1,4,4
61,Shaheed Nagar,2,28.530779499999998,77.2120573,7,5,1,64,19,6,15,6,53,13
62,Shastri Park,2,28.6682776,77.25039874373576,0,0,0,1,0,0,3,0,2,1
63,Shyam Park,2,28.6988072,77.26846412516487,0,0,0,2,0,2,5,1,8,1
64,Preet Vihar,3,28.641495199999998,77.2953744289202,10,4,1,11,0,2,31,2,11,7
65,Subhash Nagar,3,28.641807399999998,77.1087611,4,3,1,21,5,4,16,1,16,3
66,Tilak Nagar,3,28.636548200000004,77.0964961,2,4,1,12,3,2,4,0,10,4
67,Tagore Garden,3,28.643763899999996,77.1128454,4,10,0,30,6,5,15,1,20,3
68,Mayur Vihar Extension,3,28.59415815,77.29458935,1,4,0,9,2,5,4,8,5,6
69,Mayur Vihar -I,3,28.603133000000003,77.2925892,1,6,0,9,0,4,3,11,5,1
70,Mandi House,3,28.625555600000006,77.234195,10,4,0,14,4,3,25,3,3,8
71,Uttam Nagar East,3,28.624846500000004,77.0652861,3,9,1,4,1,5,11,1,29,4
72,Uttam Nagar West,3,28.621757000000002,77.0557122,2,4,1,6,0,0,7,0,28,3
73,Vaishali,3,28.644091200000002,77.0683855826679,1,1,0,4,2,3,9,2,3,0
74,Supreme Court,3,28.622287899999996,77.23943396872133,11,4,1,5,0,4,25,1,4,4
75,Moti Nagar,3,28.657859000000002,77.14242879999999,2,4,2,8,4,4,4,1,9,4
76,Nirman Vihar,3,28.63650605,77.28683488664558,8,5,1,13,2,3,5,3,15,4
77,New Ashok Nagar,3,28.589088500000003,77.3015085,1,2,2,7,2,3,12,4,5,7
